postcode,latitude,longitude,district,ward,constituency
SW13,51.471836,-0.248971,Richmond upon Thames,Mortlake & Barnes Common,Richmond Park
SW11,51.464444,-0.164298,Wandsworth,Shaftesbury & Queenstown,Battersea
E16,51.507712,0.022905,Newham,Royal Victoria,West Ham and Beckton
NW4,51.592281,-0.221949,Barnet,Hendon,Hendon
WC2A,51.517915,-0.113849,Camden,Holborn & Covent Garden,Holborn and St Pancras
W12,51.516416,-0.244422,Hammersmith and Fulham,College Park & Old Oak,Ealing Central and Acton
WC1A,51.516576,-0.125146,Camden,Holborn & Covent Garden,Holborn and St Pancras
N20,51.628396,-0.160793,Barnet,Whetstone,Chipping Barnet
WC1N,51.525389,-0.125145,Camden,Bloomsbury,Holborn and St Pancras
WC2E,51.513723,-0.122741,Westminster,St James's,Cities of London and Westminster
SE8,51.486014,-0.031566,Lewisham,Evelyn,Lewisham North
NW2,51.562196,-0.213357,Barnet,Childs Hill,Finchley and Golders Green
N21,51.636919,-0.103048,Enfield,Winchmore Hill,Edmonton and Winchmore Hill
W1D,51.516548,-0.130697,Westminster,West End,Cities of London and Westminster
SE23,51.443737,-0.049272,Lewisham,Crofton Park,Lewisham West and East Dulwich
TW9,51.460801,-0.302152,Richmond upon Thames,South Richmond,Richmond Park
E4,51.633323,0.007636,Waltham Forest,Chingford Green,Chingford and Woodford Green
SE22,51.447688,-0.072245,Southwark,Dulwich Hill,Lewisham West and East Dulwich
TW10,51.463405,-0.285802,Richmond upon Thames,North Richmond,Richmond Park
N1,51.539445,-0.117847,Islington,Caledonian,Islington South and Finsbury
SE18,51.484461,0.08476,Greenwich,Plumstead & Glyndon,Erith and Thamesmead
E2,51.526053,-0.066904,Tower Hamlets,Weavers,Bethnal Green and Stepney
WC1B,51.518139,-0.128945,Camden,Bloomsbury,Holborn and St Pancras
EN1,51.651918,-0.077079,Enfield,Town,Enfield North
WC1H,51.522983,-0.129885,Camden,Bloomsbury,Holborn and St Pancras
N5,51.554552,-0.102206,Islington,Highbury,Islington North
SW2,51.454694,-0.119305,Lambeth,Brixton Rush Common,Clapham and Brixton Hill
SW20,51.421143,-0.25367,Kingston upon Thames,Coombe Hill,Richmond Park
E3,51.530231,-0.02888,Tower Hamlets,Bow East,Stratford and Bow
SW4,51.461792,-0.14831,Lambeth,Clapham Town,Clapham and Brixton Hill
W10,51.52907,-0.215851,Westminster,Queen's Park,Queen's Park and Maida Vale
W1,51.52907,-0.215851,Westminster,Queen's Park,Queen's Park and Maida Vale
EC4V,51.512133,-0.093868,City of London,Vintry,Cities of London and Westminster
W8 5JR,51.495783,-0.190297,Kensington and Chelsea,Abingdon,Kensington and Bayswater
SW1W 0JR,51.496712,-0.147241,Westminster,Knightsbridge & Belgravia,Cities of London and Westminster
E14 3GY,51.489136,-0.018871,Tower Hamlets,Island Gardens,Poplar and Limehouse
SW1P 4DZ,51.491037,-0.130257,Westminster,Vincent Square,Cities of London and Westminster
SW1W 9SX,51.491605,-0.14958,Westminster,Knightsbridge & Belgravia,Cities of London and Westminster
SE1 7HS,51.498483,-0.111727,Lambeth,Waterloo & South Bank,Vauxhall and Camberwell Green
SW10 0BF,51.477279,-0.180575,Hammersmith and Fulham,Sands End,Chelsea and Fulham
SW7 2LT,51.494304,-0.173789,Kensington and Chelsea,Brompton & Hans Town,Kensington and Bayswater
